,destination,temp,cloud,rain,wind,latitude,longitude,no_rain
0,Mont Saint Michel,5.557027777777779,62.40972222222223,16.020833333333332,5.954041666666666,48.6359541,-1.511459954959514,83.97916666666667
1,St Malo,-16.968333333333334,94.88888888888887,12.816666666666668,3.319847222222222,49.314695,-96.9538228,87.18333333333334
2,Bayeux,5.003652777777778,62.262499999999996,13.870833333333332,6.500222222222223,49.2764624,-0.7024738,86.12916666666666
3,Le Havre,5.165902777777778,55.88611111111111,17.679166666666667,7.239736111111111,49.4938975,0.1079732,82.32083333333333
4,Rouen,1.5480833333333337,60.65416666666667,11.424999999999999,4.7264027777777775,49.4404591,1.0939658,88.575
5,Paris,2.3563194444444444,59.9625,8.450000000000001,3.606069444444444,48.8534951,2.3483915,91.55
6,Amiens,0.5419305555555555,60.10277777777777,12.9,5.333749999999999,49.8941708,2.2956951,87.1
7,Lille,2.08975,64.84166666666667,17.383333333333333,5.631777777777778,50.6365654,3.0635282,82.61666666666667
8,Strasbourg,0.9552638888888888,63.15416666666667,20.4875,3.190972222222222,48.584614,7.7507127,79.5125
9,Chateau du Haut Koenigsbourg,-0.7361111111111108,65.05277777777779,22.626388888888886,2.480958333333333,48.2495226,7.3454923,77.37361111111112
10,Colmar,1.920027777777778,61.65277777777778,22.84305555555555,2.7522638888888893,48.0777517,7.3579641,77.15694444444445
11,Eguisheim,2.120763888888889,61.66527777777778,22.873611111111114,2.6075972222222226,48.0447968,7.3079618,77.12638888888888
12,Besancon,2.2527500000000003,61.020833333333336,26.333333333333332,3.2833194444444445,47.2380222,6.0243622,73.66666666666667
13,Dijon,1.7556805555555555,60.40833333333333,14.265277777777778,3.9857499999999995,47.3215806,5.0414701,85.73472222222222
14,Annecy,1.6450138888888892,71.66666666666667,36.516666666666666,1.6015972222222221,45.8992348,6.1288847,63.483333333333334
15,Grenoble,3.722041666666667,74.74166666666666,33.40694444444445,1.740722222222222,45.1875602,5.7357819,66.59305555555555
16,Lyon,3.1122916666666662,62.775,24.245833333333334,2.592833333333333,45.7578137,4.8320114,75.75416666666666
17,Gorges du Verdon,4.225638888888889,64.10694444444444,6.798611111111112,3.0067083333333327,43.7496562,6.3285616,93.20138888888889
18,Bormes les Mimosas,10.08675,61.41111111111112,0.0,5.2412777777777775,43.1506968,6.3419285,100.0
19,Cassis,9.820569444444445,63.393055555555556,0.14583333333333334,5.048875,43.2140359,5.5396318,99.85416666666667
20,Marseille,9.592180555555556,63.7513888888889,1.3333333333333333,5.28825,43.2961743,5.3699525,98.66666666666667
21,Aix en Provence,7.258166666666667,60.80694444444444,2.090277777777778,2.884736111111111,43.5298424,5.4474738,97.90972222222223
22,Avignon,6.02825,66.08611111111111,4.0625,5.017333333333333,43.9492493,4.8059012,95.9375
23,Uzes,5.319513888888888,69.44861111111112,4.180555555555555,4.166527777777778,44.0121279,4.4196718,95.81944444444444
24,Nimes,6.447027777777778,65.9375,2.8125,4.537861111111112,43.8374249,4.3600687,97.1875
25,Aigues Mortes,7.822138888888889,66.1861111111111,1.3958333333333333,5.104875,43.5661521,4.19154,98.60416666666667
26,Saintes Maries de la mer,8.214708333333334,70.13611111111112,0.986111111111111,6.413305555555556,43.4515922,4.4277202,99.01388888888889
27,Collioure,9.412152777777777,63.57361111111112,4.798611111111112,4.383597222222222,42.52505,3.0831554,95.20138888888889
28,Carcassonne,6.947013888888889,64.56527777777778,6.666666666666667,4.297125,43.2130358,2.3491069,93.33333333333333
29,Ariege,-6.736944444444444,86.86527777777779,16.648611111111112,7.611222222222222,51.18111155,-55.98447423947262,83.35138888888889
30,Toulouse,5.839388888888888,68.60000000000001,8.701388888888888,3.617347222222222,43.6044622,1.4442469,91.29861111111111
31,Montauban,5.179125,77.32916666666667,10.194444444444445,3.113930555555555,44.0175835,1.3549991,89.80555555555556
32,Biarritz,8.263541666666667,71.38611111111112,15.298611111111112,3.7534305555555556,43.4832523,-1.5592776,84.70138888888889
33,Bayonne,7.928833333333334,71.3,14.6875,3.262319444444444,43.4945144,-1.4736657,85.3125
34,La Rochelle,6.724388888888889,69.71666666666667,7.090277777777778,6.669680555555555,46.1591126,-1.1520434,92.90972222222223
